+------------------+----------+------------+--------+--------+
|     district     | families | population |  male  | female |
+------------------+----------+------------+--------+--------+
| Achham           | 3144     | 13639      | 5887   | 7752   |
| Arghakhanchi     | 7891     | 28317      | 12687  | 15630  |
| Baglung          | 6819     | 28797      | 13487  | 15310  |
| Baitadi          | 7339     | 31786      | 15053  | 16733  |
| Bajhang          | 3273     | 16854      | 8301   | 8553   |
| Bajura           | 4082     | 18432      | 9253   | 9179   |
| Banke            | 16765    | 70315      | 32739  | 37576  |
| Bara             | 5196     | 29586      | 15141  | 14445  |
| Bardiya          | 12736    | 52056      | 24042  | 28014  |
| Bhaktapur        | 18854    | 78854      | 39664  | 39190  |
| Bhojpur          | 3566     | 15237      | 7517   | 7720   |
| Chitawan         | 98288    | 369377     | 179744 | 189633 |
| Dadeldhura       | 3743     | 18125      | 8773   | 9352   |
| Dailekh          | 6246     | 31839      | 15565  | 16274  |
| Dang             | 7538     | 31317      | 14527  | 16790  |
| Darchula         | 1363     | 7023       | 3438   | 3585   |
| Dhading          | 7791     | 34473      | 17542  | 16931  |
| Dhankuta         | 4493     | 17914      | 8764   | 9150   |
| Dhanusa          | 4846     | 24338      | 11773  | 12565  |
| Dolakha          | 5412     | 17947      | 8613   | 9334   |
| Dolpa            | 320      | 1713       | 839    | 874    |
| Doti             | 5449     | 24911      | 11141  | 13770  |
| Gorkha           | 6220     | 21876      | 10409  | 11467  |
| Gulmi            | 5148     | 18751      | 8605   | 10146  |
| Humla            | 1481     | 8110       | 4012   | 4098   |
| Ilam             | 5624     | 22856      | 11215  | 11641  |
| Jajarkot         | 3901     | 22038      | 11010  | 11028  |
| Jhapa            | 20978    | 84429      | 40591  | 43838  |
| Jumla            | 5367     | 20973      | 10475  | 10498  |
| Kailali          | 8639     | 37714      | 17882  | 19832  |
| Kalikot          | 2769     | 13900      | 6784   | 7116   |
| Kanchanpur       | 12780    | 58250      | 27055  | 31195  |
| Kapilbastu       | 23482    | 97114      | 45820  | 51294  |
| Kaski            | 6406     | 22517      | 10863  | 11654  |
| Kathmandu        | 47169    | 179688     | 89284  | 90404  |
| Kavrepalanchok   | 16973    | 67629      | 33180  | 34449  |
| Khotang          | 3506     | 13581      | 6713   | 6868   |
| Lalitpur         | 2800     | 11196      | 5637   | 5559   |
| Lamjung          | 11308    | 38562      | 18525  | 20037  |
| Mahottari        | 7841     | 40834      | 20496  | 20338  |
| Makwanpur        | 6498     | 30625      | 15111  | 15514  |
| Manang           | 391      | 1272       | 728    | 544    |
| Morang           | 20662    | 81837      | 38460  | 43377  |
| Mugu             | 4917     | 25692      | 13022  | 12670  |
| Mustang          | 738      | 2611       | 1336   | 1275   |
| Myagdi           | 3618     | 12351      | 6078   | 6273   |
| Nawalparasi East | 9348     | 39201      | 18664  | 20537  |
| Nawalparasi West | 18240    | 75017      | 35180  | 39837  |
| Nuwakot          | 9464     | 35200      | 17139  | 18061  |
| Okhaldhunga      | 4040     | 16528      | 8146   | 8382   |
| Palpa            | 4648     | 16934      | 7683   | 9251   |
| Panchthar        | 4940     | 20531      | 10211  | 10320  |
| Parbat           | 3192     | 12521      | 5960   | 6561   |
| Parsa            | 7058     | 43780      | 22801  | 20979  |
| Pyuthan          | 5145     | 20404      | 9074   | 11330  |
| Ramechhap        | 5036     | 17529      | 8129   | 9400   |
| Rasuwa           | 2477     | 8043       | 4071   | 3972   |
| Rautahat         | 6091     | 39348      | 20260  | 19088  |
| Rolpa            | 4765     | 22001      | 10252  | 11749  |
| Rukum East       | 4194     | 19835      | 9425   | 10410  |
| Rukum West       | 7603     | 35929      | 17743  | 18186  |
| Rupandehi        | 51099    | 195054     | 95705  | 99349  |
| Salyan           | 7539     | 34053      | 16496  | 17557  |
| Sankhuwasabha    | 1717     | 6509       | 3256   | 3253   |
| Saptari          | 6726     | 32047      | 15735  | 16312  |
| Sarlahi          | 10785    | 45459      | 22454  | 23005  |
| Sindhuli         | 16231    | 70679      | 34227  | 36452  |
| Sindhupalchok    | 6994     | 24158      | 11980  | 12178  |
| Siraha           | 5208     | 28137      | 13741  | 14396  |
| Solukhumbu       | 4672     | 18459      | 9225   | 9234   |
| Sunsari          | 21961    | 91891      | 43178  | 48713  |
| Surkhet          | 6240     | 25562      | 12248  | 13314  |
| Syangja          | 4718     | 14970      | 6916   | 8054   |
| Tanahu           | 6284     | 22349      | 10791  | 11558  |
| Taplejung        | 2869     | 12288      | 6005   | 6283   |
| Terhathum        | 4427     | 18210      | 8996   | 9214   |
| Udayapur         | 12170    | 51458      | 24631  | 26827  |
+------------------+----------+------------+--------+--------+
