+-------------+---------------+----------+----+------+
| first_name  |   last_name   |  salary  | HR | year |
+-------------+---------------+----------+----+------+
| Don         | Aase          | 600000   | 0  | 1986 |
| Don         | Aase          | 625000   | 0  | 1987 |
| Don         | Aase          | 675000   | 0  | 1988 |
| Don         | Aase          | 400000   | 0  | 1989 |
| Jeff        | Abbott        | 175000   | 12 | 1998 |
| Jeff        | Abbott        | 255000   | 2  | 1999 |
| Jeff        | Abbott        | 255000   | 3  | 2000 |
| Jeff        | Abbott        | 300000   | 0  | 2001 |
| Jim         | Abbott        | 68000    | 0  | 1989 |
| Jim         | Abbott        | 185000   | 0  | 1990 |
| Jim         | Abbott        | 357500   | 0  | 1991 |
| Jim         | Abbott        | 1850000  | 0  | 1992 |
| Jim         | Abbott        | 2350000  | 0  | 1993 |
| Jim         | Abbott        | 2775000  | 0  | 1994 |
| Jim         | Abbott        | 2775000  | 0  | 1995 |
| Jim         | Abbott        | 2775000  | 0  | 1995 |
| Jim         | Abbott        | 2200000  | 0  | 1996 |
| Jim         | Abbott        | 400000   | 0  | 1999 |
| Kurt        | Abbott        | 109000   | 3  | 1993 |
| Kurt        | Abbott        | 109000   | 9  | 1994 |
| Kurt        | Abbott        | 119000   | 17 | 1995 |
| Kurt        | Abbott        | 250000   | 8  | 1996 |
| Kurt        | Abbott        | 650000   | 6  | 1997 |
| Kurt        | Abbott        | 1000000  | 3  | 1998 |
| Kurt        | Abbott        | 1000000  | 2  | 1998 |
| Kurt        | Abbott        | 900000   | 8  | 1999 |
| Kurt        | Abbott        | 500000   | 6  | 2000 |
| Kurt        | Abbott        | 600000   | 0  | 2001 |
| Kyle        | Abbott        | 109000   | 0  | 1992 |
| Kyle        | Abbott        | 150000   | 0  | 1995 |
| Paul        | Abbott        | 100000   | 0  | 1990 |
| Paul        | Abbott        | 126000   | 0  | 1992 |
| Paul        | Abbott        | 235000   | 0  | 1999 |
| Paul        | Abbott        | 285000   | 0  | 2000 |
| Paul        | Abbott        | 1700000  | 0  | 2001 |
| Shawn       | Abner         | 63500    | 2  | 1988 |
| Shawn       | Abner         | 77500    | 2  | 1989 |
| Shawn       | Abner         | 105000   | 1  | 1990 |
| Shawn       | Abner         | 180000   | 2  | 1991 |
| Shawn       | Abner         | 180000   | 1  | 1991 |
